bucket,quarter,ntn
115 -| 145,2023_1,479.0
115 -| 145,2023_2,517.18
115 -| 145,2023_3,429.03
115 -| 145,2023_4,560.65
115 -| 145,2024_1,451.55
115 -| 145,2024_2,504.61
115 -| 145,2024_3,428.61
115 -| 145,2024_4,648.28
115 -| 145,2025_1,424.22
115 -| 145,2025_2,521.18
115 -| 145,2025_3,457.12
115 -| 145,2025_4,603.86
50 -| 85,2023_1,2534.63
50 -| 85,2023_2,2905.43
50 -| 85,2023_3,2311.51
50 -| 85,2023_4,3077.65
50 -| 85,2024_1,2233.53
50 -| 85,2024_2,2606.44
50 -| 85,2024_3,2164.54
50 -| 85,2024_4,3346.05
50 -| 85,2025_1,2399.58
50 -| 85,2025_2,2788.2
50 -| 85,2025_3,2332.8
50 -| 85,2025_4,3117.42
85 -| 115,2023_1,1218.1
85 -| 115,2023_2,1289.66
85 -| 115,2023_3,1143.18
85 -| 115,2023_4,1463.78
85 -| 115,2024_1,989.12
85 -| 115,2024_2,1200.45
85 -| 115,2024_3,1011.9
85 -| 115,2024_4,1518.67
85 -| 115,2025_1,1094.66
85 -| 115,2025_2,1291.78
85 -| 115,2025_3,1115.27
85 -| 115,2025_4,1552.95
<= 50,2023_1,1334.46
<= 50,2023_2,1423.37
<= 50,2023_3,1056.21
<= 50,2023_4,1428.64
<= 50,2024_1,1110.87
<= 50,2024_2,1389.67
<= 50,2024_3,1138.41
<= 50,2024_4,1628.17
<= 50,2025_1,1224.42
<= 50,2025_2,1418.56
<= 50,2025_3,1346.81
<= 50,2025_4,1726.2
> 145,2023_1,357.66
> 145,2023_2,439.06
> 145,2023_3,385.11
> 145,2023_4,493.6
> 145,2024_1,361.33
> 145,2024_2,391.17
> 145,2024_3,326.27
> 145,2024_4,553.26
> 145,2025_1,361.99
> 145,2025_2,471.5
> 145,2025_3,409.65
> 145,2025_4,514.79
