quarter,ntn
2011_1,4244.47
2011_2,5606.3
2011_3,4089.37
2011_4,5214.86
2012_1,3790.82
2012_2,4089.31
2012_3,2967.8
2012_4,3726.6
2013_1,3611.23
2013_2,4032.79
2013_3,3246.98
2013_4,4176.67
2014_1,3725.24
2014_2,4329.36
2014_3,3475.66
2014_4,4335.87
2015_1,3809.0
2015_2,4706.08
2015_3,4106.99
2015_4,5419.43
2016_1,4789.62
2016_2,6145.32
2016_3,5063.29
2016_4,5924.15
2017_1,5448.82
2017_2,6399.84
2017_3,5405.4
2017_4,6466.27
2018_1,5498.66
2018_2,6675.12
2018_3,5274.51
2018_4,7077.66
2019_1,6119.72
2019_2,7081.06
2019_3,5872.72
2019_4,7158.01
2020_1,4946.94
2020_2,5206.62
2020_3,4968.26
2020_4,6527.97
2021_1,5652.14
2021_2,7633.44
2021_3,6134.34
2021_4,7529.4
2022_1,7686.19
2022_2,7929.89
2022_3,5818.03
2022_4,7182.98
2023_1,5923.85
2023_2,6574.7
2023_3,5325.04
2023_4,7024.32
2024_1,5146.4
2024_2,6092.34
2024_3,5069.73
2024_4,7694.43
2025_1,5504.87
2025_2,6491.22
2025_3,5661.65
2025_4,7515.22
