Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,semester
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,20,Abitazioni civili,NORMALE,P,8300,10800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,20,Abitazioni civili,OTTIMO, ,10900,14700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,19,Abitazioni signorili,OTTIMO,P,12000,17500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,19,Abitazioni signorili,NORMALE, ,9000,11900,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,13,Box,NORMALE,P,4600,6800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,9,Magazzini,NORMALE,P,2150,3200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,5,Negozi,OTTIMO, ,16600,29000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,5,Negozi,NORMALE,P,9000,16500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,6,Uffici,OTTIMO,P,8200,13500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,18,Uffici strutturati,OTTIMO,P,9000,17000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,10,Laboratori,NORMALE,P,2700,3200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,20,Abitazioni civili,NORMALE,P,6300,8000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,20,Abitazioni civili,OTTIMO, ,8100,9500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,19,Abitazioni signorili,OTTIMO,P,9100,11500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,19,Abitazioni signorili,NORMALE, ,7000,9000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,13,Box,NORMALE,P,2650,3800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,9,Magazzini,NORMALE,P,1550,2300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,5,Negozi,OTTIMO, ,6500,8300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,5,Negozi,NORMALE,P,4000,6400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,6,Uffici,OTTIMO,P,5000,8000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,18,Uffici strutturati,OTTIMO,P,6000,8500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,10,Laboratori,NORMALE,P,2200,2900,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,20,Abitazioni civili,OTTIMO, ,10500,14000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,20,Abitazioni civili,NORMALE,P,8000,10400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,19,Abitazioni signorili,OTTIMO,P,12500,19000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,19,Abitazioni signorili,NORMALE, ,8500,12000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,13,Box,NORMALE,P,3800,5100,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,9,Magazzini,NORMALE,P,1600,2400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,5,Negozi,OTTIMO, ,10100,17000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,5,Negozi,NORMALE,P,6800,10000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,6,Uffici,OTTIMO,P,6000,10000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,18,Uffici strutturati,OTTIMO,P,6500,10500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,10,Laboratori,NORMALE,P,2600,3500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,20,Abitazioni civili,OTTIMO, ,9300,12000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,20,Abitazioni civili,NORMALE,P,6500,9200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,19,Abitazioni signorili,OTTIMO,P,9600,14000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,19,Abitazioni signorili,NORMALE, ,7500,9500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,13,Box,NORMALE,P,3700,5500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,9,Magazzini,NORMALE,P,1500,2100,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,5,Negozi,OTTIMO, ,7100,8800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,5,Negozi,NORMALE,P,3700,7000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,6,Uffici,OTTIMO,P,4500,8000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,18,Uffici strutturati,OTTIMO,P,5300,8000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,10,Laboratori,NORMALE,P,2300,3000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,20,Abitazioni civili,OTTIMO, ,7500,10500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,20,Abitazioni civili,NORMALE,P,5000,7400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,19,Abitazioni signorili,OTTIMO,P,9500,13000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,19,Abitazioni signorili,NORMALE, ,8000,9400,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,13,Box,NORMALE,P,2500,4000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,9,Magazzini,NORMALE,P,1100,1600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,5,Negozi,OTTIMO, ,5600,9000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,5,Negozi,NORMALE,P,4000,5500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,6,Uffici,OTTIMO,P,4200,6700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,18,Uffici strutturati,OTTIMO,P,4500,7200,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,10,Laboratori,NORMALE,P,1600,2300,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,20,Abitazioni civili,NORMALE,P,6000,8500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,20,Abitazioni civili,OTTIMO, ,8600,12500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,13,Box,NORMALE,P,3300,4800,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,9,Magazzini,NORMALE,P,1200,1600,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,5,Negozi,NORMALE,P,4800,7700,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,5,Negozi,OTTIMO, ,7800,13000,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,6,Uffici,OTTIMO,P,5000,7500,L,2024-2
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,18,Uffici strutturati,OTTIMO,P,5500,8500,L,2024-2
